,acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,cc:preconj,ccomp,compound,compound:prt,conj,cop,csubj,det,det:predet,discourse,expl,fixed,flat,flat:foreign,goeswith,iobj,list,mark,nmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:npmod,obl:tmod,parataxis,punct,reparandum,root,vocative,xcomp,Other
mark,11240,0,7060,200943,32172,27397,194081,12911,471326,52290,0,6166,2813,14097,26303,13136,278,176401,0,0,1858,801,15670,0,0,9747,0,1143019,34929,0,445,0,58326,6929,1103,58878,22831,0,0,2911,281960,0,38600,0,4487,37061
nmod,23674,0,11823,117188,187066,203826,9686,12188,92827,30767,0,9084,27278,6558,259271,13901,436,97040,0,0,1052,254,275203,0,0,51887,0,17420,2363958,0,425,0,232659,49627,28962,250793,641608,0,0,5004,67061,0,96167,0,7902,32448
nmod:npmod,122,0,64,8150,704,2804,171,137,452,140,0,36,170,61,1115,173,0,238,0,0,3,6,604,0,0,105,0,167,5303,0,0,0,721,123,489,1436,2448,0,0,41,472,0,725,0,36,354
nmod:poss,1908,0,1033,15865,44330,9964,3207,428,9688,3139,0,633,2842,295,12331,2541,36,123220,0,0,360,22,12432,0,0,12379,0,1371,59208,0,9256,0,60813,4079,953,19042,18216,0,0,718,3954,0,11963,0,1000,655025
nmod:tmod,49,0,28,6645,1365,8170,32,31,273,57,0,23,655,34,2209,64,1,150,0,0,2,1,752,0,0,204,0,21,6535,0,0,0,410,101,3344,674,3451,0,0,22,294,0,632,0,17,723
nsubj,14675,0,8891,154575,89869,98520,23770,14676,53824,24441,0,9767,37787,2368,120151,24700,547,200204,0,0,39112,204,121972,0,0,60534,0,41985,251072,0,1842,0,2773295,124769,9315,272734,205196,0,0,5059,182876,0,125489,0,3821,102586
nsubj:pass,2894,0,1757,21135,15673,19682,2643,2549,10168,4199,0,1728,4443,441,22744,2862,104,35790,0,0,4550,27,23478,0,0,11665,0,6772,52474,0,414,0,169300,178989,1973,65627,42648,0,0,678,37173,0,17052,0,650,12190
nummod,1691,0,494,38128,38059,137700,628,945,18065,9393,0,377,24267,669,38386,2092,22,62952,0,0,114,51,30919,0,0,886,0,612,118502,0,17,0,13453,1890,529129,8818,43260,0,0,462,27143,0,9753,0,430,32189
obj,31281,0,19275,113652,96978,117781,20625,13746,63803,24165,0,20046,19621,6593,211092,14413,861,103072,0,0,4648,158,94582,0,0,120564,0,51723,468048,0,970,0,462004,95796,8947,1036489,346521,0,0,7344,89007,0,128495,0,18517,39959
obl,31283,0,17121,247636,135213,123164,14375,16745,111591,25968,0,12970,18804,6640,160860,14648,702,107717,0,0,1335,445,183528,0,0,79017,0,26857,945742,0,1028,0,210461,43822,23921,252933,1200647,0,0,5725,69122,0,100643,0,11145,33363
obl:npmod,155,0,86,7327,1894,1398,151,84,1044,291,0,80,624,54,1928,309,7,1205,0,0,17,3,1112,0,0,173,0,157,11658,0,0,0,2850,422,648,2414,5199,0,0,71,629,0,1519,0,67,733
obl:tmod,264,0,163,46070,4171,2784,303,193,967,189,0,152,480,153,2001,278,3,619,0,0,2,9,1648,0,0,1075,0,238,17390,0,0,0,2443,565,818,5329,19960,0,0,75,775,0,1756,0,85,652
parataxis,20956,0,8911,35198,22590,27260,16831,7023,20104,4185,0,8922,2505,1484,62093,13610,328,17649,0,0,1095,49,15558,0,0,3457,0,3891,28538,0,17,0,26706,2912,1609,24338,19092,0,0,28365,13999,0,63876,0,6174,5951
punct,9360,0,3745,234974,29193,60167,59432,30315,117657,185024,0,3459,41114,4790,60450,54099,178,69511,0,0,1253,720,41507,0,0,1977,0,7641,94759,0,86,0,24723,3100,15483,26051,38219,0,0,4365,8853306,0,80683,0,2088,113834
reparandum,0,0,0,8,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
root,37560,0,20250,199812,97751,43832,146170,46308,96936,13626,0,11808,18768,11179,102833,94412,1661,90016,0,0,7652,477,54985,0,0,20642,0,13815,105045,0,67,0,213246,23359,10575,123233,103071,0,0,19602,71341,0,1435982,0,20690,53320
vocative,41,0,18,872,363,6546,58,8,147,66,0,10,9116,9,898,51,2,119,0,0,6,0,5530,0,0,66,0,60,946,0,0,0,5388,153,68,552,809,0,0,14,78,0,9108,0,30,1920
xcomp,58372,0,42951,73408,34192,11103,21556,5761,26460,4541,0,33465,1832,1966,77266,6481,1971,25423,0,0,368,92,13470,0,0,6854,0,15348,38055,0,31,0,35731,5203,777,54379,41024,0,0,9432,30630,0,143550,0,77894,6576
